"SAMPLE_ID","STATUS","STATUS_DATE","REMARK"
64950,"NO_BLOOM","11/12/2019",
64951,"NO_BLOOM","06/21/2019",
64953,"NO_BLOOM","07/03/2019",
64954,"NO_BLOOM","07/25/2019",
64955,"NO_BLOOM","08/08/2019",
64956,"NO_BLOOM","08/22/2019",
64957,"NO_BLOOM","09/05/2019",
64958,"NO_BLOOM","09/18/2019",
64952,"CONFIRMED","06/21/2019",
64959,,,
64960,,,
64961,"CONFIRMED","06/20/2019",
64962,"CONFIRMED","07/08/2019",
64964,"CONFIRMED","07/25/2019",
64965,"CONFIRMED","08/09/2019",
64967,"CONFIRMED","08/22/2019",
64968,"NO_BLOOM","09/05/2019",
64969,"NO_BLOOM","09/19/2019",
64970,"NO_BLOOM","10/02/2019",
64963,"CONFIRMED","07/08/2019",
64966,"CONFIRMED","08/09/2019",
64971,"SUSPICIOUS","08/26/2019",
64972,,,
64973,,,
64974,,,
64975,"NO_BLOOM","06/21/2019",
64977,"CONFIRMED","11/12/2019",
64978,"NO_BLOOM","11/12/2019",
64979,"CONFIRMED","08/21/2019",
64980,"CONFIRMED","09/05/2019",
64982,"CONFIRMED","09/18/2019",
64976,"CONFIRMED","06/20/2019",
64981,"CONFIRMED","09/05/2019",
64983,"CONFIRMED","09/18/2019",
64984,,,
64985,,,
64986,,,
64987,,,
64988,"NO_BLOOM","11/12/2019",
64989,"NO_BLOOM","11/12/2019",
64990,"NO_BLOOM","07/03/2019",
64991,"NO_BLOOM","07/17/2019",
64993,"CONFIRMED","08/01/2019",
64994,"NO_BLOOM","08/15/2019",
64997,"NO_BLOOM","08/28/2019",
64999,"NO_BLOOM","09/11/2019",
64992,"CONFIRMED","07/17/2019",
64995,"NO_BLOOM","08/15/2019",
64996,"CONFIRMED","08/21/2019",
64998,"CONFIRMED","08/28/2019",
65000,,,
65001,"NO_BLOOM","07/03/2019",
65002,"NO_BLOOM","11/12/2019",
65003,"NO_BLOOM","08/02/2019",
65005,"NO_BLOOM","08/15/2019",
65006,"NO_BLOOM","08/28/2019",
65007,"NO_BLOOM","09/11/2019",
65008,"NO_BLOOM","09/25/2019",
65004,"NO_BLOOM","08/07/2019",
65009,"NO_BLOOM","11/12/2019",
65010,"NO_BLOOM","06/28/2019",
65011,"NO_BLOOM","11/12/2019",
65012,"NO_BLOOM","07/29/2019",
65013,"NO_BLOOM","08/09/2019",
65014,"NO_BLOOM","08/23/2019",
65015,"NO_BLOOM","09/06/2019",
65016,"NO_BLOOM","09/20/2019",
65017,"CONFIRMED","09/05/2019",
65018,"NO_BLOOM","11/12/2019",
65019,"NO_BLOOM","06/28/2019",
65020,"NO_BLOOM","11/12/2019",
65021,"NO_BLOOM","08/01/2019",
65022,"NO_BLOOM","08/16/2019",
65023,"NO_BLOOM","08/30/2019",
65024,"NO_BLOOM","09/11/2019",
65025,"NO_BLOOM","09/25/2019",
65026,,,
65027,"NO_BLOOM","11/12/2019",
65028,"NO_BLOOM","11/12/2019",
65030,"NO_BLOOM","07/03/2019",
65031,"NO_BLOOM","07/17/2019",
65032,"NO_BLOOM","08/01/2019",
65033,"NO_BLOOM","08/15/2019",
65034,"NO_BLOOM","08/28/2019",
65035,"NO_BLOOM","09/11/2019",
65029,"CONFIRMED_WITH_HIGH_TOXINS","07/08/2019",
65036,"SUSPICIOUS","07/29/2019",
65037,"SUSPICIOUS","08/16/2019",
65038,"NO_BLOOM","06/21/2019",
65039,"NO_BLOOM","07/03/2019",
65040,"NO_BLOOM","11/12/2019",
65041,"NO_BLOOM","08/01/2019",
65042,"NO_BLOOM","08/16/2019",
65043,"NO_BLOOM","09/05/2019",
65044,"NO_BLOOM","10/03/2019",
65045,,,
65046,,,
65047,,,
65048,,,
65049,,,
65050,,,
65051,,,
65052,,,
65053,"NO_BLOOM","11/12/2019",
65055,"NO_BLOOM","11/12/2019",
65058,"NO_BLOOM","07/11/2019",
65059,"NO_BLOOM","07/26/2019",
65061,"NO_BLOOM","08/08/2019",
65063,"NO_BLOOM",,
65064,"NO_BLOOM","08/22/2019",
65066,"NO_BLOOM","09/06/2019",
65068,"NO_BLOOM","09/19/2019",
65054,"CONFIRMED_WITH_HIGH_TOXINS","06/19/2019",
65056,"CONFIRMED_WITH_HIGH_TOXINS","06/26/2019",
65057,"CONFIRMED_WITH_HIGH_TOXINS","07/10/2019",
65060,"CONFIRMED","08/06/2019",
65062,"CONFIRMED_WITH_HIGH_TOXINS","08/08/2019",
65065,"CONFIRMED_WITH_HIGH_TOXINS","08/22/2019",
65067,"CONFIRMED_WITH_HIGH_TOXINS","09/06/2019",
65069,"CONFIRMED_WITH_HIGH_TOXINS","09/19/2019",
65070,"NO_BLOOM","05/30/2019",
65071,"NO_BLOOM","11/12/2019",
65072,"NO_BLOOM","11/12/2019",
65073,"NO_BLOOM","07/10/2019",
65074,"NO_BLOOM","11/12/2019",
65075,"NO_BLOOM","08/07/2019",
65076,"NO_BLOOM","08/21/2019",
65077,"NO_BLOOM","09/05/2019",
65078,"NO_BLOOM","11/12/2019",
65079,"NO_BLOOM","11/12/2019",
65080,"NO_BLOOM","07/11/2019",
65081,"NO_BLOOM","08/01/2019",
65082,"NO_BLOOM","08/08/2019",
65083,"NO_BLOOM","08/22/2019",
65084,"NO_BLOOM","09/05/2019",
65085,"NO_BLOOM","09/25/2019",
65086,,,
65087,,,
65088,"NO_BLOOM","11/12/2019",
65089,"NO_BLOOM","11/12/2019",
65090,"NO_BLOOM","07/03/2019",
65091,"NO_BLOOM","07/17/2019",
65092,"NO_BLOOM","08/01/2019",
65093,"NO_BLOOM","08/15/2019",
65094,"NO_BLOOM","08/28/2019",
65095,"NO_BLOOM","09/25/2019",
65097,"NO_BLOOM",,
65096,"CONFIRMED","10/10/2019",
65098,"CONFIRMED","10/30/2019",
65099,"NO_BLOOM","11/12/2019",
65100,"NO_BLOOM","11/12/2019",
65101,"NO_BLOOM","07/03/2019",
