LakeID,FIN,County,WATER,Alternate_Name,Lake_Proj_Code_Ref::LAKE_PROJ_CODE,Beaches,PWS,Waterbody_Classification,WaterClassPartNo,Dam Class,M_BAS_NAME,BASIN_NAME,M_BASIN_ID,BasinSub,ACRES,SHORELINE_,AREA,LEN,P#,PWLID,_8_Digit_HUC,DATE_ADDED,Waterbody_Type,Chla_PWS
0905SMI0122,SL-25-P122,St Lawrence,Smith Pond,,,No,No,C,910-1360,,St. Lawrence River Basin,Oswegatchie River,9,905,11.63 ,0.72 ,47082 ,1165.68 ,122,0905-0143,,,Lake,10
0905POR0120,SL-25-73-19-3-6-1-1-P120,St Lawrence,Portaferry Lake,,,No,No,B,910-1363,,St. Lawrence River Basin,Oswegatchie River,9,905,79.16 ,2.30 ,320368 ,3706.67 ,120,0905-0142,,,Lake,10
0905SNY0113,SL-25-73-19-3-5-P113,St Lawrence,Snyder Lake,,,Yes,No,BT,910-1352,,St. Lawrence River Basin,Oswegatchie River,9,905,16.08 ,0.65 ,65057 ,1038.39 ,113,0905-0141,,,Lake,10
0905GRA0111,SL-25-P111,St Lawrence,Graham Pond,,,No,No,C(T),910-1347,,St. Lawrence River Basin,Oswegatchie River,9,905,11.42 ,0.66 ,46201 ,1062.72 ,111,0905-0140,,,Lake,10
0905BUL0100,SL-25-73-14-P100,St Lawrence,Bullhead Pond,,,No,No,CT,910-1326,,St. Lawrence River Basin,Oswegatchie River,9,905,9.02 ,0.52 ,36508 ,828.97 ,100,0905-0136,,,Lake,10
0905UWB5330,SL-25-P5330,St Lawrence,Unnamed Water,,,No,No,,,,St. Lawrence River Basin,Oswegatchie River,9,905,13.13 ,1.28 ,53143 ,2067.87 ,5330,0905-0136,,,Lake,
0905PIN0092,SL-25-P92,St Lawrence,Pine Hill Pond,,,No,No,D,910-1322,,St. Lawrence River Basin,Oswegatchie River,9,905,7.88 ,0.50 ,31878 ,797.37 ,92,0905-0135,,,Lake,10
0905BON0090,SL-25-73-7-P90,St Lawrence,Bonner Lake,,,No,No,C,910-1313,,St. Lawrence River Basin,Oswegatchie River,9,905,52.15 ,1.47 ,211028 ,2367.56 ,90,0905-0134,,,Lake,10
0905SYL0088,SL-25-72-P88,St Lawrence,Sylvia Lake,,,Yes,No,AA,910-1301,,St. Lawrence River Basin,Oswegatchie River,9,905,314.12 ,4.42 ,1271212 ,7113.91 ,88,0905-0132,,,Lake,4
0905CHU0081,SL-25-69A-P81,St Lawrence,Chub Lake,,,No,No,C,910-1298,,St. Lawrence River Basin,Oswegatchie River,9,905,93.16 ,3.10 ,377012 ,4990.86 ,81,0905-0131,,,Lake,10
0905YEL0069,SL-25-49-P69,St Lawrence,Yellow Lake,,,No,No,C,910-1263,,St. Lawrence River Basin,Oswegatchie River,9,905,360.53 ,6.55 ,1459030 ,10544.79 ,69,0905-0125,,,Lake,10
0905LOW0061,SL-25-16-P61,St Lawrence,Lower Lake,,,No,No,C,910-1255,,St. Lawrence River Basin,Oswegatchie River,9,905,37.62 ,1.74 ,152249 ,2799.32 ,61,0905-0119,,,Lake,10
